
2025/01/07 (13:10:13) | ===> btop++ v.1.4.0
2025/01/07 (13:10:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (18:40:32) | ===> btop++ v.1.4.0
2025/01/09 (18:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (18:46:34) | ===> btop++ v.1.4.0
2025/01/09 (18:46:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (15:31:41) | ===> btop++ v.1.4.0
2025/03/13 (15:31:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (19:17:13) | ===> btop++ v.1.4.0
2025/03/19 (19:17:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (16:30:04) | ===> btop++ v.1.4.0
2025/04/12 (16:30:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (14:06:38) | ===> btop++ v.1.4.0
2025/04/15 (14:06:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:44:14) | ===> btop++ v.1.4.0
2025/04/16 (17:44:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/16 (17:47:12) | WARNING: Failed to join _runner thread on exit!

2025/04/16 (18:20:14) | ===> btop++ v.1.4.0
2025/04/16 (18:20:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (04:38:20) | ===> btop++ v.1.4.0
2025/04/17 (04:38:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (22:41:01) | ===> btop++ v.1.4.0
2025/05/08 (22:41:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (22:41:08) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (23:11:29) | ===> btop++ v.1.4.0
2025/05/08 (23:11:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (23:11:42) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (23:15:01) | ===> btop++ v.1.4.0
2025/05/08 (23:15:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (23:15:14) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (23:20:09) | ===> btop++ v.1.4.0
2025/05/08 (23:20:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (23:20:28) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (23:44:08) | ===> btop++ v.1.4.0
2025/05/08 (23:44:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (23:44:23) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (03:14:16) | ===> btop++ v.1.4.0
2025/05/09 (03:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/12 (11:05:27) | ===> btop++ v.1.4.0
2025/05/12 (11:05:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (11:05:39) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:15:20) | ===> btop++ v.1.4.0
2025/05/12 (11:15:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (11:19:03) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:20:06) | ===> btop++ v.1.4.0
2025/05/12 (11:20:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (11:21:09) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:22:02) | ===> btop++ v.1.4.0
2025/05/12 (11:22:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (11:22:13) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:22:49) | ===> btop++ v.1.4.0
2025/05/12 (11:22:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (11:25:37) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:26:28) | ===> btop++ v.1.4.0
2025/05/12 (11:26:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/26 (09:19:38) | ===> btop++ v.1.4.0
2025/05/26 (09:19:38) | WARNING: Intel GPU: Failed to initialize PMU
